Protein Type	File Name	Accession ID	Hit Number	Hit ID	Query Definition	Hit Length	Species	Hsp E-value	Identity	Positives	Database	TaxID	Domain	Phylum	Class	Order	Family	Type	Strain
Cell Cycle Regulation Proteins	Q00535_blast_results.txt	Q00535	Hit 153	AYV87079.1	MAG: putative mitogenactivated protein kinase [Sylvanvirus sp.]	664	Sylvanvirus sp.	1.31E-21	74	120	Genomic Viruses	1651169	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia virus
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 25	AVL94539.1	cyclin-dependent serine/threonine protein kinase [Moumouvirus australiensis]	539	Moumouvirus australiensis	1.87E-39	90	151	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 56	AVL95118.1	kinase [Moumouvirus australiensis]	537	Moumouvirus australiensis	1.35E-34	92	142	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 87	AVL95128.1	putative serine/threonine protein kinase [Moumouvirus australiensis]	535	Moumouvirus australiensis	5.87E-30	85	151	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 145	AVL95126.1	putative serine/threonine protein kinase [Moumouvirus australiensis]	536	Moumouvirus australiensis	6.51E-27	85	147	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 219	AVL94948.1	serine/threonine protein kinase [Moumouvirus australiensis]	400	Moumouvirus australiensis	3.13E-20	72	109	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 282	AVL95162.1	putative serine/threonine protein kinase receptor [Moumouvirus australiensis]	1618	Moumouvirus australiensis	1.56E-18	62	106	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Transcription Factors	P19838_blast_results.txt	P19838	Hit 481	AVL94837.1	ankyrin repeat protein [Moumouvirus australiensis]	758	Moumouvirus australiensis	7.48E-06	46	86	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Structural 	Q02388_blast_results.txt	Q02388	Hit 474	AVL94572.1	collagen-like protein [Moumouvirus australiensis]	1384	Moumouvirus australiensis	2.12E-97	401	536	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Structural 	Q02388_blast_results.txt	Q02388	Hit 656	AVL95200.1	collagen-like protein [Moumouvirus australiensis]	1781	Moumouvirus australiensis	8.19E-84	309	403	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Structural 	Q02388_blast_results.txt	Q02388	Hit 1202	AVL94622.1	collagen repeat protein [Moumouvirus australiensis]	3382	Moumouvirus australiensis	8.89E-59	290	379	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Structural 	Q02388_blast_results.txt	Q02388	Hit 3706	AVL94618.1	collagen-like protein [Moumouvirus australiensis]	833	Moumouvirus australiensis	1.02E-34	195	266	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Structural 	Q02388_blast_results.txt	Q02388	Hit 4611	AVL94619.1	collagen-like protein [Moumouvirus australiensis]	983	Moumouvirus australiensis	4.25E-29	119	143	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Metabolic Hormones	Q15303_1_blast_results.xml	Q15303	Hit 121	GMQ19122.1	Ser/thr kinase [Pandoravirus Pa1-2]	880	Moumouvirus australiensis	6.88E-27	75	129	Genomic Viruses	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Metabolic Hormones	Q15303_1_blast_results.xml	Q15303	Hit 119	ref|YP_010790095.1|	putative serine/threonine protein kinase receptor [Moumouvirus australiensis]	1618	Moumouvirus australiensis	2.55E-26	78	142	Other	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Metabolic Hormones	Q15303_1_blast_results.xml	Q15303	Hit 120	gb|AVL95162.1|	putative serine/threonine protein kinase receptor [Moumouvirus australiensis]	1618	Moumouvirus australiensis	2.55E-26	78	142	Other	2015878	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Clautastrophe
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 27	AHA93304.1	putative cyclin-dependent kinase 2 [Chelonid alphaherpesvirus 5]	313	Chelonid alphaherpesvirus 5	3.05E-39	91	151	Genomic Viruses	1701810	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Pseudotevenvirus	Pseudotevenvirus margaery
Cell Cycle Regulation Proteins	Q00535_blast_results.txt	Q00535	Hit 436	AHA93305.1	US3 protein kinase protein [Chelonid alphaherpesvirus 5]	383	Chelonid alphaherpesvirus 5	1.93E-15	73	135	Genomic Viruses	1701810	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Pseudotevenvirus	Pseudotevenvirus margaery
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 28	QBK91750.1	MAG: putative serine/threonine protein kinase [Pithovirus LCPAC304]	559	Pithovirus LCPAC304	5.65E-39	105	154	Genomic Viruses	3118716	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus pteropodidalpha2
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 69	QBK92268.1	MAG: putative serine/threonine protein kinase [Pithovirus LCPAC304]	506	Pithovirus LCPAC304	1.96E-33	96	146	Genomic Viruses	3118716	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus pteropodidalpha2
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 124	QBK92029.1	MAG: putative serine/threonine protein kinase [Pithovirus LCPAC304]	543	Pithovirus LCPAC304	4.08E-28	104	158	Genomic Viruses	3118716	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus pteropodidalpha2
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 227	QBK92304.1	MAG: protein kinase [Pithovirus LCPAC304]	461	Pithovirus LCPAC304	4.77E-20	83	143	Genomic Viruses	3118716	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus pteropodidalpha2
Transcription Factors	P19838_blast_results.txt	P19838	Hit 141	QBK92129.1	MAG: ankyrin repeat protein [Pithovirus LCPAC304]	351	Pithovirus LCPAC304	2.28E-10	68	98	Genomic Viruses	3118716	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus pteropodidalpha2
Transcription Factors	P19838_blast_results.txt	P19838	Hit 342	QBK92106.1	MAG: ankyrin repeat protein [Pithovirus LCPAC304]	352	Pithovirus LCPAC304	2.43E-07	64	95	Genomic Viruses	3118716	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus pteropodidalpha2
Transcription Factors	P19838_blast_results.txt	P19838	Hit 615	QBK92001.1	MAG: ankyrin repeat protein [Pithovirus LCPAC304]	360	Pithovirus LCPAC304	2.51E-05	71	111	Genomic Viruses	3118716	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus pteropodidalpha2
Transcription Factors	P19838_blast_results.txt	P19838	Hit 778	QBK91991.1	MAG: F-box domain and ankyrin repeat protein [Pithovirus LCPAC304]	355	Pithovirus LCPAC304	0.00023722	48	74	Genomic Viruses	3118716	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus pteropodidalpha2
Structural 	O43808_blast_results.txt	O43808	Hit 4	QBK91775.1	MAG: mitochondrial carrier-like protein [Pithovirus LCPAC304]	299	Pithovirus LCPAC304	1.82E-12	68	127	Genomic Viruses	3118716	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus pteropodidalpha2
Metabolic Hormones	Q15303_1_blast_results.xml	Q15303	Hit 377	gb|QBK92268.1|	MAG: putative serine/threonine protein kinase [Pithovirus LCPAC304]	506	Pithovirus LCPAC304	6.78E-14	65	108	Other	3118716	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus pteropodidalpha2
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 29	AGF85633.1	hypothetical protein glt_00828 [Moumouvirus goulette]	542	Moumouvirus goulette	3.13E-38	89	152	Genomic Viruses	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 55	AGF84984.1	serine-threonine kinase-like protein [Moumouvirus goulette]	500	Moumouvirus goulette	1.33E-34	89	157	Genomic Viruses	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 84	AGF84993.1	kinase [Moumouvirus goulette]	538	Moumouvirus goulette	9.72E-31	73	128	Genomic Viruses	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 88	AGF84982.1	serine-threonine kinase-like protein [Moumouvirus goulette]	535	Moumouvirus goulette	2.07E-29	84	141	Genomic Viruses	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 228	AGF85177.1	kinase [Moumouvirus goulette]	279	Moumouvirus goulette	4.91E-20	71	110	Genomic Viruses	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 515	AGF85754.1	tyrosine kinase family protein [Moumouvirus goulette]	1602	Moumouvirus goulette	2.75E-16	61	104	Genomic Viruses	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Transcription Factors	P19838_blast_results.txt	P19838	Hit 403	AGF85292.1	repeat protein [Moumouvirus goulette]	759	Moumouvirus goulette	9.40E-07	47	85	Genomic Viruses	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Structural 	Q02388_blast_results.txt	Q02388	Hit 1268	AGF85531.1	repeat protein [Moumouvirus goulette]	1054	Moumouvirus goulette	1.48E-57	265	361	Genomic Viruses	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Structural 	Q02388_blast_results.txt	Q02388	Hit 1586	AGF85532.1	repeat protein [Moumouvirus goulette]	2135	Moumouvirus goulette	1.70E-54	175	224	Genomic Viruses	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Structural 	Q02388_blast_results.txt	Q02388	Hit 1782	AGF85535.1	repeat protein [Moumouvirus goulette]	1028	Moumouvirus goulette	2.10E-51	205	266	Genomic Viruses	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Structural 	Q02388_blast_results.txt	Q02388	Hit 2852	AGF85489.1	triple helix repeat protein [Moumouvirus goulette]	750	Moumouvirus goulette	7.88E-43	162	219	Genomic Viruses	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Cell Cycle Regulation Proteins	Q00535_blast_results.txt	Q00535	Hit 338	AGF85496.1	kinase [Moumouvirus goulette]	657	Moumouvirus goulette	1.83E-16	61	112	Genomic Viruses	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Metabolic Hormones	Q15303_1_blast_results.xml	Q15303	Hit 200	ref|YP_010779989.1|	tyrosine kinase family protein [Moumouvirus goulette]	1602	Moumouvirus goulette	2.96E-23	78	136	Other	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Metabolic Hormones	Q15303_1_blast_results.xml	Q15303	Hit 201	gb|AGF85754.1|	tyrosine kinase family protein [Moumouvirus goulette]	1602	Moumouvirus goulette	2.96E-23	78	136	Other	2250374	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Omegavirus	Mycobacterium phage Constella
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 32	QBK91537.1	MAG: cyclin-dependent protein kinase [Pithovirus LCPAC302]	506	Pithovirus LCPAC302	5.05E-38	99	145	Genomic Viruses	670426	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Iltovirus	Iltovirus psittacidalpha1
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 156	QBK91651.1	MAG: putative serine/threonine protein kinase [Pithovirus LCPAC302]	278	Pithovirus LCPAC302	3.03E-25	72	114	Genomic Viruses	670426	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Iltovirus	Iltovirus psittacidalpha1
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 165	QBK91516.1	MAG: putative serine/threonine protein kinase [Pithovirus LCPAC302]	479	Pithovirus LCPAC302	1.28E-24	84	144	Genomic Viruses	670426	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Iltovirus	Iltovirus psittacidalpha1
Structural 	O43808_blast_results.txt	O43808	Hit 1	QBK91399.1	MAG: mitochondrial carrier-like protein [Pithovirus LCPAC302]	268	Pithovirus LCPAC302	1.97E-13	65	130	Genomic Viruses	670426	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Iltovirus	Iltovirus psittacidalpha1
Cell Cycle Regulation Proteins	Q00534_blast_results.txt	Q00534	Hit 513	QBK91438.1	MAG: putative serine/threonine protein kinase [Pithovirus LCPAC302]	253	Pithovirus LCPAC302	3.54E-15	61	105	Genomic Viruses	670426	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Iltovirus	Iltovirus psittacidalpha1
Metabolic Hormones	Q15303_1_blast_results.xml	Q15303	Hit 453	gb|QBK91516.1|	MAG: putative serine/threonine protein kinase [Pithovirus LCPAC302]	479	Pithovirus LCPAC302	1.02E-09	59	113	Other	670426	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Iltovirus	Iltovirus psittacidalpha1
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 33	QGR53681.1	protein kinase [Moumouvirus maliensis]	538	Moumouvirus maliensis	1.57E-37	92	147	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 71	QGR54247.1	cyclin [Moumouvirus maliensis]	537	Moumouvirus maliensis	5.22E-33	86	137	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 140	QGR54257.1	protein kinase [Moumouvirus maliensis]	536	Moumouvirus maliensis	7.17E-28	80	152	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 143	QGR54255.1	serine/threonine protein kinase [Moumouvirus maliensis]	536	Moumouvirus maliensis	1.53E-27	86	148	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 245	QGR54078.1	serine/threonine protein kinase [Moumouvirus maliensis]	400	Moumouvirus maliensis	1.64E-19	69	111	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 305	QGR54286.1	serine/threonine protein kinase [Moumouvirus maliensis]	1618	Moumouvirus maliensis	3.71E-18	62	105	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Transcription Factors	P19838_blast_results.txt	P19838	Hit 503	QGR53979.1	ankyrin repeat-containing protein [Moumouvirus maliensis]	758	Moumouvirus maliensis	8.43E-06	46	86	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Transcription Factors	P19838_blast_results.txt	P19838	Hit 823	QGR54279.1	ankyrin repeat-containing protein [Moumouvirus maliensis]	567	Moumouvirus maliensis	0.00045891	54	89	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Structural 	Q02388_blast_results.txt	Q02388	Hit 1	QGR54324.1	collagen repeat-containing protein [Moumouvirus maliensis]	1827	Moumouvirus maliensis	1.98E-154	547	694	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Structural 	Q02388_blast_results.txt	Q02388	Hit 504	QGR53714.1	collagen repeat-containing protein [Moumouvirus maliensis]	1345	Moumouvirus maliensis	9.16E-93	390	521	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Structural 	Q02388_blast_results.txt	Q02388	Hit 781	QGR53765.1	collagen repeat-containing protein [Moumouvirus maliensis]	1206	Moumouvirus maliensis	3.70E-73	273	365	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Structural 	Q02388_blast_results.txt	Q02388	Hit 4691	QGR53764.1	collagen repeat-containing protein [Moumouvirus maliensis]	2375	Moumouvirus maliensis	1.28E-28	163	216	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Structural 	Q02388_blast_results.txt	Q02388	Hit 5671	QGR53761.1	collagen repeat-containing protein [Moumouvirus maliensis]	1035	Moumouvirus maliensis	5.34E-25	178	233	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Metabolic Hormones	Q15303_1_blast_results.xml	Q15303	Hit 112	GMQ22142.1	serine-threonine kinase [Pandoravirus Pa2-1]	1836	Moumouvirus maliensis	3.92E-27	59	87	Genomic Viruses	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Metabolic Hormones	Q15303_1_blast_results.xml	Q15303	Hit 111	gb|QGR54286.1|	serine/threonine protein kinase [Moumouvirus maliensis]	1618	Moumouvirus maliensis	1.21E-26	78	142	Other	2664225	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Bronvirus dirkdirk
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 34	BCS82848.1	cyclin domain fused to cyclin-dependent serine/threonine protein kinase [Cotonvirus japonicus]	549	Cotonvirus japonicus	7.63E-37	90	149	Genomic Viruses	2902667	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Pseudotevenvirus	Pseudotevenvirus leb
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 47	BCS83511.1	cyclin domain fused to cyclin-dependent serine/threonine protein kinase [Cotonvirus japonicus]	551	Cotonvirus japonicus	1.01E-34	90	159	Genomic Viruses	2902667	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Pseudotevenvirus	Pseudotevenvirus leb
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 321	BCS82726.1	putative serine/threonine-protein kinase [Cotonvirus japonicus]	1656	Cotonvirus japonicus	8.49E-18	63	105	Genomic Viruses	2902667	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Pseudotevenvirus	Pseudotevenvirus leb
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 493	BCS82977.1	putative serine/threonine-protein kinase [Cotonvirus japonicus]	649	Cotonvirus japonicus	1.97E-16	61	112	Genomic Viruses	2902667	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Pseudotevenvirus	Pseudotevenvirus leb
